Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob,home_win_pct_last5,home_win_pct_last10,home_win_pct_last20,home_season_win_pct,home_days_rest,away_win_pct_last5,away_win_pct_last10,away_win_pct_last20,away_season_win_pct,away_days_rest,diff_win_pct_last5,diff_win_pct_last10,diff_win_pct_last20,diff_season_win_pct,diff_days_rest
2007-11-04,Denver Nuggets,New Orleans Pelicans,216.0,6.5,-215.0,185.0,181,-5,2,2,0,0.6825396825396826,0.3508771929824561,0.0334168755221386,0.6604688763136621,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2007-11-04,Phoenix Suns,Cleveland Cavaliers,208.5,8.0,-350.0,290.0,195,11,2,2,1,0.7777777777777778,0.2564102564102564,0.034188034188034,0.7520661157024794,0.5,0.5,0.5,0.5,2.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0
2007-11-04,Los Angeles Lakers,Utah Jazz,202.0,2.0,-115.0,-105.0,228,10,2,1,1,0.5348837209302325,0.5121951219512195,0.0470788428814521,0.5108342361863488,0.5,0.5,0.5,0.5,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,1.0
2007-11-04,Detroit Pistons,Atlanta Hawks,188.5,8.5,-350.0,290.0,183,1,2,2,1,0.7777777777777778,0.2564102564102564,0.034188034188034,0.7520661157024794,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2007-11-05,Dallas Mavericks,Houston Rockets,190.0,5.0,-200.0,170.0,205,9,2,2,1,0.6666666666666666,0.3703703703703703,0.0370370370370369,0.6428571428571429,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,2.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0
2007-11-06,New York Knicks,Denver Nuggets,213.0,2.5,140.0,-160.0,231,7,2,2,1,0.4166666666666667,0.6153846153846154,0.0320512820512821,0.4037267080745341,0.5,0.5,0.5,0.5,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,0.0
2007-11-06,Milwaukee Bucks,Toronto Raptors,191.0,0.0,140.0,-160.0,197,27,3,2,1,0.4166666666666667,0.6153846153846154,0.0320512820512821,0.4037267080745341,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0
2007-11-06,Charlotte Bobcats,Phoenix Suns,210.0,4.0,165.0,-195.0,198,-32,2,2,0,0.3773584905660377,0.6610169491525424,0.03837543971858,0.3634123806590699,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0
2007-11-06,New Jersey Nets,Atlanta Hawks,190.5,4.5,-190.0,160.0,169,5,3,2,1,0.6551724137931034,0.3846153846153846,0.039787798408488,0.6301020408163266,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.5,0.5,0.5,0.5,2.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,1.0
2007-11-06,Minnesota Timberwolves,Orlando Magic,190.0,7.0,250.0,-300.0,214,-8,2,3,0,0.2857142857142857,0.75,0.0357142857142855,0.2758620689655172,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1.0
2007-11-06,Sacramento Kings,Seattle SuperSonics,204.0,3.0,-130.0,110.0,202,6,3,2,1,0.5652173913043478,0.4761904761904761,0.0414078674948239,0.5427435387673957,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
2007-11-06,Golden State Warriors,Cleveland Cavaliers,209.0,1.0,-135.0,115.0,212,-4,3,2,0,0.574468085106383,0.4651162790697674,0.0395843641761504,0.552594002855783,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0
2007-11-06,Los Angeles Lakers,New Orleans Pelicans,207.0,3.5,-155.0,135.0,222,-14,2,2,0,0.6078431372549019,0.425531914893617,0.0333750521485189,0.5882115462252725,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,2.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0
2007-11-06,Chicago Bulls,Los Angeles Clippers,193.0,7.0,-405.0,335.0,188,-6,3,2,0,0.801980198019802,0.2298850574712643,0.0318652554910663,0.7772140730120217,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
