Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob
2007-11-04,Los Angeles Lakers,Utah Jazz,202.0,2.0,-115.0,-105.0,228,10,2,1,1,0.5348837209302325,0.5121951219512195,0.04707884288145214,0.5108342361863488
2007-11-04,Phoenix Suns,Cleveland Cavaliers,208.5,8.0,-350.0,290.0,195,11,2,2,1,0.7777777777777778,0.2564102564102564,0.03418803418803407,0.7520661157024794
2007-11-04,Detroit Pistons,Atlanta Hawks,188.5,8.5,-350.0,290.0,183,1,2,2,1,0.7777777777777778,0.2564102564102564,0.03418803418803407,0.7520661157024794
2007-11-04,Toronto Raptors,Boston Celtics,192.0,2.0,-125.0,105.0,193,-3,2,2,0,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
2007-11-04,New York Knicks,Minnesota Timberwolves,192.5,10.0,-425.0,355.0,190,4,2,2,1,0.8095238095238095,0.21978021978021978,0.0293040293040292,0.7864768683274023
2007-11-04,Los Angeles Clippers,Seattle SuperSonics,209.5,6.0,-300.0,250.0,216,14,2,3,1,0.75,0.2857142857142857,0.03571428571428559,0.7241379310344829
2007-11-04,Miami Heat,Charlotte Bobcats,186.0,3.0,-160.0,140.0,178,-2,2,2,0,0.6153846153846154,0.4166666666666667,0.03205128205128216,0.5962732919254659
2007-11-05,Dallas Mavericks,Houston Rockets,190.0,5.0,-200.0,170.0,205,9,2,2,1,0.6666666666666666,0.37037037037037035,0.03703703703703698,0.6428571428571429
2007-11-06,Chicago Bulls,Los Angeles Clippers,193.0,7.0,-405.0,335.0,188,-6,3,2,0,0.801980198019802,0.22988505747126436,0.031865255491066335,0.7772140730120217
2007-11-06,Los Angeles Lakers,New Orleans Pelicans,207.0,3.5,-155.0,135.0,222,-14,2,2,0,0.6078431372549019,0.425531914893617,0.03337505214851899,0.5882115462252725
2007-11-06,Golden State Warriors,Cleveland Cavaliers,209.0,1.0,-135.0,115.0,212,-4,3,2,0,0.574468085106383,0.46511627906976744,0.03958436417615041,0.552594002855783
2007-11-06,Sacramento Kings,Seattle SuperSonics,204.0,3.0,-130.0,110.0,202,6,3,2,1,0.5652173913043478,0.47619047619047616,0.04140786749482395,0.5427435387673957
2007-11-06,Houston Rockets,San Antonio Spurs,185.0,0.0,115.0,-135.0,170,8,1,4,1,0.46511627906976744,0.574468085106383,0.03958436417615041,0.447405997144217
2007-11-06,Minnesota Timberwolves,Orlando Magic,190.0,7.0,250.0,-300.0,214,-8,2,3,0,0.2857142857142857,0.75,0.03571428571428559,0.27586206896551724
2007-11-06,New York Knicks,Denver Nuggets,213.0,2.5,140.0,-160.0,231,7,2,2,1,0.4166666666666667,0.6153846153846154,0.03205128205128216,0.40372670807453415
2007-11-06,New Jersey Nets,Atlanta Hawks,190.5,4.5,-190.0,160.0,169,5,3,2,1,0.6551724137931034,0.38461538461538464,0.039787798408488007,0.6301020408163266
2007-11-06,Charlotte Bobcats,Phoenix Suns,210.0,4.0,165.0,-195.0,198,-32,2,2,0,0.37735849056603776,0.6610169491525424,0.03837543971858004,0.36341238065906994
2007-11-06,Milwaukee Bucks,Toronto Raptors,191.0,0.0,140.0,-160.0,197,27,3,2,1,0.4166666666666667,0.6153846153846154,0.03205128205128216,0.40372670807453415
2007-11-07,Seattle SuperSonics,Memphis Grizzlies,219.5,1.5,-110.0,-110.0,203,-7,1,4,0,0.5238095238095238,0.5238095238095238,0.04761904761904767,0.5
2007-11-07,Portland Trail Blazers,New Orleans Pelicans,202.0,2.5,125.0,-145.0,183,3,4,1,1,0.4444444444444444,0.5918367346938775,0.03628117913832196,0.42888402625820565
2007-11-07,Utah Jazz,Cleveland Cavaliers,196.0,8.0,-500.0,400.0,204,2,3,1,1,0.8333333333333334,0.2,0.03333333333333344,0.8064516129032258
2007-11-07,San Antonio Spurs,Miami Heat,185.5,10.5,-1200.0,800.0,166,10,1,3,1,0.9230769230769231,0.1111111111111111,0.03418803418803429,0.8925619834710743
2007-11-07,Boston Celtics,Denver Nuggets,203.0,5.5,-295.0,245.0,212,26,3,1,1,0.7468354430379747,0.2898550724637681,0.03669051550174274,0.7204034684126703
2007-11-07,Philadelphia 76ers,Charlotte Bobcats,190.0,3.5,-195.0,165.0,157,31,4,1,1,0.6610169491525424,0.37735849056603776,0.03837543971858004,0.6365876193409301
2007-11-07,Indiana Pacers,Los Angeles Clippers,200.5,5.0,-290.0,240.0,193,-15,4,1,0,0.7435897435897436,0.29411764705882354,0.03770739064856721,0.7165697674418604
2007-11-07,Atlanta Hawks,Phoenix Suns,208.5,5.5,190.0,-230.0,201,9,1,1,1,0.3448275862068966,0.696969696969697,0.04179728317659359,0.33099297893681046
2007-11-07,Toronto Raptors,Orlando Magic,186.5,3.0,-200.0,170.0,201,-9,1,1,0,0.6666666666666666,0.37037037037037035,0.03703703703703698,0.6428571428571429
2007-11-08,New Jersey Nets,Washington Wizards,194.0,6.0,-275.0,235.0,172,2,2,5,1,0.7333333333333333,0.29850746268656714,0.03184079601990053,0.7107039537126325
2007-11-08,Chicago Bulls,Detroit Pistons,184.0,1.5,-120.0,100.0,190,4,2,4,1,0.5454545454545454,0.5,0.045454545454545414,0.5217391304347826
2007-11-08,Golden State Warriors,Dallas Mavericks,213.5,7.5,275.0,-325.0,235,-5,2,3,0,0.26666666666666666,0.7647058823529411,0.03137254901960773,0.25855513307984795
2007-11-09,Houston Rockets,Milwaukee Bucks,191.0,9.5,-475.0,395.0,192,16,3,3,1,0.8260869565217391,0.20202020202020202,0.028107158541941235,0.8035027765912003
2007-11-09,Portland Trail Blazers,Memphis Grizzlies,208.0,1.0,-140.0,120.0,208,12,2,2,1,0.5833333333333334,0.45454545454545453,0.037878787878787845,0.562043795620438
2007-11-09,Detroit Pistons,Los Angeles Clippers,192.0,7.5,-375.0,315.0,182,24,1,2,1,0.7894736842105263,0.24096385542168675,0.030437539632213184,0.7661538461538461
2007-11-09,Los Angeles Lakers,Minnesota Timberwolves,201.0,11.0,-800.0,600.0,200,14,3,3,1,0.8888888888888888,0.14285714285714285,0.03174603174603163,0.8615384615384616
2007-11-09,Sacramento Kings,Cleveland Cavaliers,194.5,6.5,205.0,-245.0,184,-2,3,2,0,0.32786885245901637,0.7101449275362319,0.03801377999524824,0.3158617532616159
2007-11-09,Seattle SuperSonics,Utah Jazz,210.5,7.0,240.0,-290.0,204,-2,2,2,0,0.29411764705882354,0.7435897435897436,0.03770739064856721,0.28343023255813954
2007-11-09,Washington Wizards,Denver Nuggets,210.5,3.0,110.0,-130.0,210,-26,1,2,0,0.47619047619047616,0.5652173913043478,0.04140786749482395,0.4572564612326044
2007-11-09,New York Knicks,Orlando Magic,198.5,1.0,-115.0,-105.0,214,-10,3,2,0,0.5348837209302325,0.5121951219512195,0.04707884288145214,0.5108342361863488
2007-11-09,Miami Heat,Phoenix Suns,201.0,8.5,315.0,-375.0,207,-5,2,2,0,0.24096385542168675,0.7894736842105263,0.030437539632213184,0.23384615384615381
2007-11-09,Boston Celtics,Atlanta Hawks,194.0,7.0,-430.0,360.0,189,23,2,2,1,0.8113207547169812,0.21739130434782608,0.028712059064807338,0.7886762360446571
2007-11-09,Charlotte Bobcats,Indiana Pacers,194.5,3.0,-125.0,105.0,183,9,2,2,1,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
2007-11-09,Philadelphia 76ers,Toronto Raptors,188.0,1.0,110.0,-130.0,208,-2,2,2,0,0.47619047619047616,0.5652173913043478,0.04140786749482395,0.4572564612326044
